T,加速度X(G),加速度Y(G),加速度Z(G),加速度合計(G),地磁気X(gauss),地磁気Y(gauss),地磁気Z(gauss),ジャイロX(dps),ジャイロY(dps),ジャイロZ(dps),気圧(hPa),高度(m),気温(℃),飛行状態,,
- 9.99,-0.070,-0.020,1.075,1.080,0.527,-0.648,-0.204,-3.080,3.299,-3.780,980.64,275.06,39.54,0,,
- 9.86,-0.088,-0.025,1.073,1.080,0.528,-0.648,-0.204,-3.229,3.386,-3.623,980.72,274.41,39.54,0,,
- 9.73,-0.082,-0.023,1.072,1.080,0.528,-0.648,-0.207,-2.949,3.378,-3.623,980.61,275.29,39.54,0,,
- 9.60,-0.072,-0.034,1.069,1.070,0.527,-0.648,-0.205,-3.071,3.325,-3.684,980.64,275.02,39.54,0,,
- 9.47,-0.079,-0.031,1.073,1.080,0.527,-0.648,-0.205,-3.089,3.439,-3.631,980.67,274.85,39.55,0,,
- 9.34,-0.075,-0.034,1.076,1.080,0.528,-0.647,-0.205,-3.010,3.351,-3.684,980.63,275.18,39.54,0,,
- 9.21,-0.079,-0.025,1.071,1.070,0.527,-0.647,-0.206,-3.089,3.395,-3.684,980.69,274.6,39.54,0,,
- 9.09,-0.081,-0.021,1.072,1.070,0.528,-0.647,-0.206,-3.036,3.246,-3.754,980.68,274.72,39.54,0,,
- 8.96,-0.075,-0.025,1.078,1.080,0.528,-0.647,-0.206,-3.071,3.238,-3.614,980.69,274.68,39.54,0,,
- 8.83,-0.073,-0.015,1.069,1.070,0.528,-0.647,-0.206,-3.063,3.325,-3.763,980.67,274.78,39.55,0,,
- 8.70,-0.075,-0.025,1.075,1.080,0.528,-0.648,-0.205,-2.966,3.316,-3.614,980.64,275.08,39.54,0,,
- 8.56,-0.072,-0.026,1.071,1.070,0.527,-0.647,-0.205,-3.045,3.343,-3.824,980.67,274.8,39.54,0,,
- 8.43,-0.077,-0.029,1.073,1.080,0.527,-0.648,-0.206,-3.159,3.421,-3.824,980.51,276.19,39.54,0,,
- 8.31,-0.078,-0.030,1.078,1.080,0.528,-0.647,-0.205,-3.063,3.308,-3.675,980.67,274.8,39.54,0,,
- 8.18,-0.081,-0.025,1.072,1.080,0.528,-0.647,-0.205,-3.019,3.168,-3.763,980.67,274.79,39.54,0,,
- 8.05,-0.078,-0.022,1.067,1.070,0.528,-0.647,-0.205,-3.106,3.299,-3.693,980.6,275.38,39.54,0,,
- 7.92,-0.083,-0.023,1.070,1.070,0.528,-0.647,-0.206,-3.098,3.465,-3.649,980.55,275.85,39.55,0,,
- 7.79,-0.071,-0.029,1.080,1.080,0.528,-0.648,-0.205,-3.185,3.360,-3.658,980.54,275.88,39.54,0,,
- 7.66,-0.087,-0.031,1.075,1.080,0.528,-0.647,-0.205,-3.036,3.395,-3.570,980.63,275.12,39.54,0,,
- 7.53,-0.083,-0.017,1.069,1.070,0.528,-0.647,-0.205,-3.010,3.308,-3.640,980.58,275.57,39.54,0,,
- 7.40,-0.075,-0.023,1.067,1.070,0.528,-0.648,-0.205,-3.080,3.378,-3.859,980.65,274.99,39.54,0,,
- 7.27,-0.077,-0.028,1.076,1.080,0.527,-0.647,-0.206,-3.098,3.255,-3.815,980.61,275.34,39.54,0,,
- 7.14,-0.072,-0.030,1.079,1.080,0.529,-0.645,-0.203,-2.958,3.343,-3.763,980.63,275.17,39.54,0,,
- 7.01,-0.073,-0.029,1.075,1.080,0.528,-0.647,-0.205,-3.124,3.369,-3.745,980.6,275.37,39.54,0,,
- 6.88,-0.075,-0.029,1.077,1.080,0.528,-0.647,-0.205,-3.185,3.308,-3.824,980.65,274.96,39.54,0,,
- 6.75,-0.072,-0.029,1.070,1.070,0.530,-0.645,-0.202,-3.098,3.290,-3.666,980.68,274.69,39.54,0,,
- 6.62,-0.076,-0.028,1.075,1.080,0.527,-0.647,-0.204,-3.185,3.316,-3.938,980.62,275.21,39.54,0,,
- 6.49,-0.083,-0.020,1.069,1.070,0.530,-0.645,-0.203,-3.063,3.220,-3.684,980.65,274.98,39.55,0,,
- 6.36,-0.076,-0.031,1.078,1.080,0.529,-0.647,-0.206,-3.063,3.378,-3.868,980.62,275.25,39.54,0,,
- 6.23,-0.075,-0.030,1.080,1.080,0.529,-0.647,-0.206,-3.001,3.334,-3.798,980.65,274.95,39.54,0,,
- 6.10,-0.072,-0.019,1.069,1.070,0.529,-0.645,-0.203,-3.045,3.115,-3.623,980.7,274.57,39.54,0,,
- 5.98,-0.074,-0.029,1.075,1.080,0.528,-0.648,-0.207,-3.115,3.220,-3.719,980.68,274.71,39.54,0,,
- 5.85,-0.075,-0.025,1.072,1.070,0.530,-0.646,-0.203,-3.115,3.080,-3.728,980.61,275.34,39.54,0,,
- 5.72,-0.072,-0.026,1.078,1.080,0.527,-0.646,-0.206,-3.124,3.229,-3.754,980.66,274.89,39.54,0,,
- 5.59,-0.074,-0.029,1.075,1.080,0.527,-0.646,-0.206,-3.080,3.229,-3.623,980.61,275.35,39.54,0,,
- 5.46,-0.079,-0.025,1.082,1.090,0.529,-0.645,-0.203,-3.133,3.351,-3.658,980.64,275.04,39.54,0,,
- 5.33,-0.078,-0.029,1.071,1.070,0.527,-0.648,-0.205,-2.984,3.360,-3.666,980.63,275.16,39.54,0,,
- 5.20,-0.083,-0.019,1.075,1.080,0.530,-0.646,-0.203,-3.063,3.325,-3.631,980.66,274.9,39.55,0,,
- 5.07,-0.084,-0.034,1.069,1.070,0.527,-0.648,-0.206,-3.089,3.203,-3.640,980.65,274.94,39.55,0,,
- 4.94,-0.074,-0.019,1.077,1.080,0.527,-0.648,-0.206,-3.168,3.395,-4.121,980.67,274.8,39.54,0,,
- 4.81,-0.081,-0.024,1.070,1.070,0.530,-0.646,-0.203,-3.036,3.246,-3.754,980.63,275.12,39.54,0,,
- 4.68,-0.076,-0.023,1.073,1.080,0.528,-0.648,-0.205,-3.036,3.273,-3.561,980.71,274.51,39.54,0,,
- 4.55,-0.075,-0.024,1.078,1.080,0.530,-0.645,-0.202,-3.019,3.238,-3.456,980.6,275.43,39.55,0,,
- 4.42,-0.076,-0.035,1.074,1.080,0.528,-0.647,-0.206,-3.124,3.325,-3.824,980.64,275.09,39.54,0,,
- 4.29,-0.075,-0.018,1.069,1.070,0.528,-0.647,-0.205,-3.019,3.124,-3.701,980.68,274.68,39.55,0,,
- 4.16,-0.082,-0.024,1.072,1.080,0.528,-0.647,-0.205,-3.150,3.386,-3.806,980.67,274.84,39.54,0,,
- 4.03,-0.077,-0.028,1.073,1.080,0.528,-0.647,-0.205,-3.089,3.395,-3.640,980.63,275.12,39.54,0,,
- 3.90,-0.070,-0.023,1.071,1.070,0.528,-0.648,-0.205,-3.106,3.325,-3.728,980.73,274.25,39.55,0,,
- 3.77,-0.080,-0.027,1.071,1.070,0.528,-0.646,-0.205,-2.975,3.106,-3.605,980.71,274.47,39.55,0,,
- 3.64,-0.078,-0.034,1.072,1.080,0.528,-0.648,-0.206,-2.949,3.343,-3.605,980.62,275.27,39.55,0,,
- 3.51,-0.083,-0.020,1.067,1.070,0.528,-0.648,-0.206,-3.141,3.238,-3.876,980.65,274.97,39.54,0,,
- 3.38,-0.081,-0.022,1.076,1.080,0.528,-0.648,-0.207,-3.010,3.553,-3.806,980.71,274.47,39.54,0,,
- 3.25,-0.078,-0.030,1.073,1.080,0.528,-0.647,-0.207,-3.063,3.421,-3.868,980.64,275.04,39.54,0,,
- 3.12,-0.078,-0.023,1.067,1.070,0.528,-0.648,-0.203,-3.194,3.456,-3.754,980.63,275.14,39.54,0,,
- 2.99,-0.074,-0.026,1.069,1.070,0.528,-0.647,-0.204,-3.106,3.325,-3.815,980.59,275.47,39.54,0,,
- 2.86,-0.085,-0.034,1.070,1.070,0.528,-0.647,-0.204,-3.001,3.264,-3.736,980.61,275.32,39.54,0,,
- 2.72,-0.076,-0.023,1.075,1.080,0.528,-0.648,-0.206,-3.045,3.343,-3.701,980.66,274.9,39.55,0,,
- 2.59,-0.083,-0.026,1.077,1.080,0.528,-0.647,-0.206,-3.036,3.325,-3.500,980.67,274.78,39.54,0,,
- 2.46,-0.081,-0.029,1.074,1.080,0.528,-0.647,-0.206,-2.984,3.290,-3.710,980.56,275.71,39.55,0,,
- 2.33,-0.074,-0.030,1.080,1.080,0.528,-0.648,-0.205,-2.958,3.316,-3.885,980.61,275.3,39.54,0,,
- 2.20,-0.078,-0.034,1.072,1.080,0.528,-0.648,-0.205,-3.106,3.238,-3.710,980.65,274.94,39.54,0,,
- 2.08,-0.087,-0.026,1.071,1.070,0.529,-0.648,-0.206,-3.010,3.141,-3.623,980.59,275.46,39.55,0,,
- 1.94,-0.079,-0.038,1.089,1.090,0.528,-0.647,-0.205,-2.931,3.325,-3.675,980.56,275.75,39.54,0,,
- 1.82,-0.083,-0.028,1.073,1.080,0.527,-0.647,-0.206,-3.045,3.308,-4.051,980.56,275.7,39.54,0,,
- 1.69,-0.086,-0.031,1.077,1.080,0.527,-0.648,-0.205,-2.966,3.290,-4.008,980.59,275.46,39.54,0,,
- 1.55,-0.083,-0.023,1.075,1.080,0.527,-0.648,-0.205,-2.958,3.273,-3.955,980.55,275.83,39.54,0,,
- 1.42,-0.081,-0.031,1.066,1.070,0.528,-0.647,-0.205,-3.063,3.378,-3.719,980.61,275.34,39.55,0,,
- 1.29,-0.080,-0.031,1.072,1.080,0.528,-0.647,-0.206,-3.001,3.203,-3.894,980.59,275.49,39.54,0,,
- 1.16,-0.075,-0.036,1.077,1.080,0.527,-0.647,-0.206,-3.098,3.325,-3.614,980.56,275.74,39.54,0,,
- 1.03,-0.082,-0.018,1.060,1.060,0.529,-0.648,-0.205,-3.071,3.308,-3.456,980.58,275.54,39.54,0,,
- 0.91,-0.071,-0.029,1.066,1.070,0.528,-0.648,-0.206,-2.975,3.185,-3.588,980.72,274.42,39.54,0,,
- 0.78,-0.068,-0.021,1.080,1.080,0.528,-0.648,-0.206,-3.176,3.430,-3.693,980.56,275.77,39.54,0,,
- 0.65,-0.083,-0.031,1.072,1.080,0.527,-0.647,-0.206,-3.124,3.308,-3.754,980.63,275.16,39.54,0,,
- 0.52,-0.076,-0.023,1.092,1.100,0.529,-0.648,-0.206,-3.028,3.386,-4.130,980.61,275.33,39.54,0,,
- 0.39,-0.070,-0.028,1.069,1.070,0.528,-0.648,-0.207,-2.940,3.036,-3.124,980.56,275.75,39.54,0,,
- 0.26,-0.085,-0.066,1.047,1.050,0.528,-0.647,-0.204,-2.363,3.168,-4.323,980.63,275.15,39.54,0,,
- 0.13,-0.088,-0.025,1.104,1.110,0.528,-0.647,-0.204,-1.505,2.695,-4.594,980.66,274.9,39.54,0,,
0,-0.669,-0.391,5.910,5.960,0.529,-0.647,-0.206,0.035,0.788,-13.361,980.65,275.02,39.54,1,点火判定,点火
+ 0.13,-0.264,-0.133,4.698,4.710,0.488,-0.646,-0.318,1.365,-0.499,11.594,980.44,1.92,39.54,1,,
+ 0.26,0.230,-0.040,3.696,3.700,0.149,-0.520,-0.410,-7.630,6.396,7.578,980.4,2.27,39.54,2,上昇,
+ 0.39,-0.376,-0.665,3.306,3.390,0.124,-0.537,-0.328,12.163,-2.625,-56.114,980.15,4.61,39.54,2,,
+ 0.52,-0.854,-0.559,3.192,3.350,0.124,-0.537,-0.328,-7.630,10.351,14.700,979.9,7.01,39.54,2,,
+ 0.65,-0.755,-0.060,2.192,2.320,0.180,-0.564,-0.303,3.535,-0.481,4.261,979.61,9.67,39.54,2,,
+ 0.78,0.930,0.468,5.395,5.490,0.174,-0.560,-0.304,2.476,-5.399,-0.026,979.53,10.41,39.53,2,,
+ 0.91,-0.756,-0.114,2.358,2.480,0.169,-0.559,-0.307,-7.648,12.758,5.626,979.01,15.28,39.54,2,,
+ 1.04,-0.381,-0.577,5.318,5.360,0.166,-0.558,-0.308,1.488,-11.358,5.408,978.61,18.99,39.53,2,,
+ 1.17,0.668,0.234,5.473,5.520,0.166,-0.558,-0.308,-36.890,26.819,-0.560,978.25,22.35,39.53,2,,
+ 1.30,0.254,0.188,4.527,4.540,0.157,-0.546,-0.295,-6.755,0.114,20.519,977.63,28.2,39.53,2,,
+ 1.43,-0.151,-0.440,5.309,5.330,0.141,-0.541,-0.314,-4.428,-0.341,24.710,977.33,30.97,39.53,2,,
+ 1.56,-0.272,-0.690,4.336,4.400,0.125,-0.529,-0.302,-7.919,-1.374,32.489,976.57,38.17,39.53,2,,
+ 1.69,-0.803,-0.186,0.401,0.920,0.096,-0.512,-0.314,-4.646,7.061,46.629,975.87,44.66,39.53,2,,
+ 1.82,-0.562,0.030,0.892,1.050,0.096,-0.512,-0.314,3.465,-2.984,48.869,975.34,49.63,39.52,2,,
+ 1.95,-0.160,-0.037,1.034,1.050,0.069,-0.493,-0.322,-0.245,1.943,50.059,974.48,57.78,39.51,2,,
+ 2.08,-0.059,-0.051,0.813,0.820,0.037,-0.473,-0.321,-2.503,1.803,53.795,974.03,62.01,39.5,2,,
+ 2.21,-0.059,-0.018,0.567,0.570,0.008,-0.443,-0.320,-9.196,4.156,55.598,973.04,71.31,39.5,2,,
+ 2.34,-0.017,-0.004,0.370,0.370,-0.009,-0.400,-0.324,-12.740,8.619,54.504,972.16,79.57,39.49,2,,
+ 2.47,-0.067,0.016,0.275,0.280,-0.009,-0.400,-0.324,-11.393,8.068,55.134,971.84,82.63,39.49,2,,
+ 2.60,-0.026,0.014,0.150,0.150,-0.016,-0.355,-0.332,-6.256,8.164,55.353,970.8,92.41,39.49,2,,
+ 2.73,-0.045,-0.015,0.067,0.080,-0.014,-0.311,-0.334,-2.809,0.184,51.809,970.37,96.43,39.49,2,,
+ 2.86,-0.042,-0.006,0.034,0.050,-0.016,-0.274,-0.325,-4.016,-1.855,51.424,969.6,103.78,39.48,2,,
+ 2.99,-0.022,-0.045,0.026,0.060,-0.009,-0.239,-0.265,-4.008,1.295,49.035,968.74,111.93,39.48,2,,
+ 3.12,-0.026,-0.017,0.005,0.030,-0.009,-0.239,-0.265,-6.195,4.025,46.961,968.3,116.04,39.47,2,,
+ 3.25,-0.028,-0.014,0.001,0.030,-0.008,-0.200,-0.216,-8.601,5.915,45.421,967.62,122.52,39.47,2,,
+ 3.38,-0.036,0.005,-0.004,0.040,0.016,-0.157,-0.214,-9.249,6.020,43.208,967.22,126.33,39.47,2,,
+ 3.51,-0.015,-0.015,0.003,0.020,0.035,-0.125,-0.216,-7.604,5.766,40.705,966.44,133.66,39.47,2,,
+ 3.64,-0.025,-0.012,0.003,0.030,0.058,-0.095,-0.213,-6.956,4.261,40.486,965.69,140.78,39.47,2,,
+ 3.77,-0.006,0.038,0.017,0.040,0.058,-0.095,-0.213,-8.173,5.049,39.454,965.33,144.19,39.47,2,,
+ 3.89,-0.001,0.014,0.020,0.020,0.081,-0.071,-0.214,-5.985,2.800,37.406,964.75,149.76,39.47,2,,
+ 4.02,-0.021,0.001,0.019,0.030,0.110,-0.050,-0.210,-1.916,-1.216,36.479,964.48,152.34,39.47,2,,
+ 4.15,-0.031,0.008,0.025,0.040,0.134,-0.042,-0.211,0.350,-5.119,37.765,963.84,158.39,39.47,2,,
+ 4.28,-0.027,-0.004,0.023,0.040,0.149,-0.025,-0.209,0.114,-5.626,37.109,963.54,161.3,39.46,2,,
+ 4.41,-0.036,-0.008,0.025,0.040,0.149,-0.025,-0.209,0.079,-1.829,33.915,963.05,165.95,39.46,2,,
+ 4.54,-0.032,-0.007,0.037,0.050,0.166,-0.021,-0.213,-0.228,3.124,31.439,962.45,171.65,39.46,2,,
+ 4.68,-0.028,-0.007,0.035,0.050,0.195,-0.016,-0.212,-2.214,6.668,30.800,962.22,173.8,39.46,2,,
+ 4.80,-0.029,0.006,0.042,0.050,0.217,-0.013,-0.214,-3.281,8.006,29.400,961.84,177.46,39.45,2,,
+ 4.93,-0.020,-0.001,0.056,0.060,0.247,-0.012,-0.213,-2.546,9.013,28.648,961.59,179.85,39.45,2,,
+ 5.06,-0.023,-0.007,0.042,0.050,0.273,-0.018,-0.214,-2.144,8.488,28.359,961.08,184.75,39.45,2,,
+ 5.19,-0.018,-0.002,0.048,0.050,0.273,-0.018,-0.214,-1.654,6.956,27.361,960.79,187.53,39.44,2,,
+ 5.32,-0.022,-0.015,0.060,0.070,0.302,-0.027,-0.213,-0.849,4.025,26.924,960.49,190.31,39.44,2,,
+ 5.45,-0.014,-0.007,0.053,0.060,0.327,-0.036,-0.212,-0.639,0.236,26.513,960.14,193.68,39.44,2,,
+ 5.58,-0.023,-0.007,0.051,0.060,0.343,-0.047,-0.213,-1.820,-3.666,26.434,960.13,193.79,39.44,2,,
+ 5.71,-0.014,-0.024,0.057,0.060,0.350,-0.055,-0.215,-4.743,-6.370,26.329,959.72,197.72,39.43,2,,
+ 5.84,-0.014,0.001,0.061,0.060,0.350,-0.055,-0.215,-7.595,-8.094,26.556,959.4,200.79,39.43,2,,
+ 5.97,-0.022,-0.009,0.060,0.060,0.352,-0.062,-0.217,-9.730,-8.645,24.929,959.29,201.81,39.43,2,,
+ 6.10,-0.009,-0.007,0.064,0.070,0.357,-0.063,-0.217,-10.378,-9.328,24.824,959.06,204.04,39.43,2,,
+ 6.23,-0.031,-0.007,0.071,0.080,0.359,-0.064,-0.218,-10.806,-10.544,24.159,959.01,204.53,39.43,2,,
+ 6.36,-0.020,-0.004,0.065,0.070,0.359,-0.066,-0.218,-10.973,-11.349,22.208,958.77,206.83,39.43,2,,
+ 6.49,-0.020,-0.003,0.067,0.070,0.359,-0.066,-0.218,-11.200,-11.778,20.930,958.54,209.04,39.42,2,,
+ 6.62,-0.016,-0.004,0.066,0.070,0.355,-0.066,-0.220,-11.296,-12.224,20.108,958.52,209.21,39.42,2,,
+ 6.75,-0.020,-0.007,0.066,0.070,0.352,-0.065,-0.219,-11.288,-12.329,18.471,958.48,209.56,39.42,2,,
+ 6.88,-0.016,-0.010,0.073,0.080,0.347,-0.064,-0.219,-11.454,-12.968,18.874,958.41,210.26,39.42,2,,
+ 7.01,-0.017,-0.013,0.070,0.070,0.342,-0.062,-0.220,-11.769,-13.843,19.031,958.23,212.03,39.42,2,,
+ 7.15,0.004,-0.015,0.070,0.070,0.342,-0.062,-0.220,-12.460,-13.974,19.915,958.16,212.66,39.43,2,,最高点
+ 7.27,0.002,-0.012,0.070,0.070,0.337,-0.059,-0.220,-13.256,-13.676,22.190,958.22,212.13,39.42,2,,
+ 7.41,0.016,-0.013,0.067,0.070,0.332,-0.055,-0.219,-14.604,-12.600,25.454,958.18,212.42,39.42,2,,
+ 7.54,0.023,-0.018,0.072,0.080,0.331,-0.050,-0.216,-17.036,-11.244,31.885,958.23,212,39.42,2,,
+ 7.67,0.019,-0.048,0.064,0.080,0.341,-0.045,-0.212,-18.961,-9.608,41.204,958.26,211.74,39.43,2,,
+ 7.80,0.035,-0.056,0.064,0.090,0.341,-0.045,-0.212,-20.685,-9.520,46.821,958.28,211.49,39.42,4,開傘,開傘
+ 7.94,0.042,-0.067,0.061,0.100,0.356,-0.040,-0.206,-23.730,-8.680,38.491,958.32,211.09,39.42,4,,
+ 8.07,0.048,-0.103,0.061,0.130,0.372,-0.035,-0.200,-27.160,-8.610,17.946,958.3,211.29,39.43,4,,
+ 8.20,0.053,-0.119,0.054,0.140,0.377,-0.018,-0.190,-29.540,-10.063,-11.594,958.4,210.34,39.42,4,,
+ 8.33,0.094,-0.140,0.048,0.180,0.358,0.011,-0.181,-30.861,-13.449,-49.516,958.43,210.05,39.42,4,,
+ 8.46,0.172,-0.138,0.044,0.220,0.290,0.049,-0.168,-27.913,-20.396,-103.819,958.5,209.43,39.42,4,,
+ 8.59,0.205,-0.133,0.051,0.250,0.290,0.049,-0.168,-19.285,-28.971,-132.991,958.55,208.92,39.42,4,,
+ 8.72,0.253,-0.086,0.053,0.270,0.155,0.055,-0.150,-12.548,-36.225,-92.321,958.77,206.84,39.42,4,,
+ 8.85,0.318,-0.034,0.049,0.320,0.032,0.017,-0.129,-7.114,-42.263,-40.924,959.07,203.98,39.42,4,,
+ 8.98,0.338,-0.045,0.039,0.340,-0.032,-0.005,-0.100,-3.981,-45.115,13.615,959.25,202.19,39.42,4,,
+ 9.11,0.362,-0.025,0.038,0.360,-0.036,0.026,-0.065,-8.864,-45.981,78.374,959.51,199.68,39.42,4,,
+ 9.24,0.332,-0.262,0.042,0.420,-0.036,0.026,-0.065,-24.176,-42.543,151.104,959.57,199.13,39.42,4,,
+ 9.37,0.382,-0.365,0.045,0.530,0.056,0.118,-0.027,-42.096,-26.775,164.255,959.64,198.46,39.42,4,,
+ 9.50,0.129,-0.404,0.039,0.430,0.244,0.195,0.019,-46.296,-12.836,114.205,959.65,198.36,39.41,4,,
+ 9.63,0.247,-0.373,0.029,0.450,0.386,0.194,0.061,-53.471,6.256,94.623,960.09,194.17,39.41,4,,
+ 9.76,0.022,-0.405,0.014,0.410,0.506,0.148,0.115,-60.550,21.175,157.605,960.09,194.12,39.41,4,,
+ 9.89,-0.306,-0.285,0.012,0.420,0.506,0.148,0.115,-51.555,45.614,279.528,960.19,193.24,39.41,4,,
+ 10.02,-0.258,0.001,-0.035,0.260,0.645,-0.057,0.179,-27.676,66.596,264.591,961.03,185.2,39.41,4,,
+ 10.15,-0.164,0.027,-0.062,0.180,0.571,-0.400,0.240,8.444,78.155,211.829,962.01,175.84,39.4,4,,
+ 10.28,-0.078,-0.001,-0.092,0.120,0.322,-0.569,0.294,45.946,59.973,235.174,962.3,173.06,39.4,4,,
+ 10.42,-0.013,-0.036,-0.100,0.110,0.050,-0.528,0.334,65.660,20.799,222.810,962.65,169.72,39.39,4,,
+ 10.54,-0.010,-0.047,-0.081,0.090,-0.073,-0.326,0.364,55.650,-12.933,196.315,963.16,164.87,39.39,4,,
+ 10.67,-0.022,-0.067,-0.026,0.070,-0.073,-0.326,0.364,23.424,-22.654,168.508,963.17,164.76,39.38,4,,
+ 10.81,-0.075,-0.075,0.010,0.110,-0.041,-0.130,0.383,0.201,-2.931,129.159,963.66,160.1,39.38,4,,
+ 10.93,-0.098,-0.044,0.012,0.110,0.026,-0.021,0.385,-6.641,25.489,110.714,963.91,157.73,39.38,4,,
+ 11.06,-0.070,-0.016,-0.015,0.070,0.073,0.039,0.375,-3.903,45.990,103.268,964.54,151.7,39.38,4,,
+ 11.20,-0.048,-0.034,-0.033,0.070,0.114,0.085,0.357,3.955,50.278,93.564,965.22,145.25,39.37,4,,
+ 11.34,-0.005,-0.040,-0.020,0.050,0.114,0.085,0.357,6.991,41.755,86.660,965.52,142.37,39.37,4,,
+ 11.46,0.006,-0.046,0.001,0.050,0.165,0.120,0.337,-3.605,24.063,91.306,966.04,137.4,39.38,4,,
+ 11.59,0.004,-0.061,-0.001,0.060,0.233,0.136,0.334,-22.934,6.536,101.833,966.32,134.79,39.37,4,,
+ 11.72,0.010,-0.056,-0.015,0.060,0.328,0.119,0.349,-40.801,-1.260,106.943,966.92,129.09,39.36,4,,
+ 11.85,-0.007,-0.045,-0.034,0.060,0.416,0.051,0.378,-47.731,-0.674,102.454,967.73,121.37,39.36,4,,
+ 11.98,-0.015,-0.002,-0.026,0.030,0.416,0.051,0.378,-41.545,-0.123,94.343,968.03,118.54,39.36,4,,
+ 12.11,0.004,0.000,-0.006,0.010,0.469,-0.043,0.399,-26.364,-2.013,86.013,968.69,112.35,39.35,4,,
+ 12.24,0.012,0.021,-0.005,0.020,0.488,-0.134,0.404,-7.429,-7.158,79.494,968.99,109.47,39.35,4,,
+ 12.37,-0.028,0.016,-0.028,0.040,0.496,-0.202,0.397,6.178,-13.291,75.215,969.8,101.84,39.34,4,,
+ 12.50,-0.015,-0.008,-0.042,0.050,0.503,-0.256,0.389,10.929,-12.311,67.760,970.66,93.67,39.34,4,,
+ 12.63,-0.037,-0.010,-0.051,0.060,0.503,-0.256,0.389,5.189,-4.891,59.868,971.1,89.55,39.34,4,,
+ 12.76,-0.044,-0.010,-0.045,0.060,0.496,-0.295,0.383,-2.083,9.450,50.908,971.93,81.71,39.35,4,,
+ 12.89,-0.042,-0.013,-0.051,0.070,0.471,-0.338,0.386,-8.549,18.953,45.745,972.31,78.13,39.34,4,,
+ 13.02,-0.009,-0.007,-0.052,0.050,0.428,-0.379,0.392,-11.708,19.740,43.584,973.2,69.77,39.34,4,,
+ 13.15,0.003,0.015,-0.054,0.060,0.388,-0.423,0.397,-11.953,11.751,46.673,974.11,61.23,39.33,4,,
+ 13.28,0.008,0.008,-0.061,0.060,0.349,-0.457,0.393,-10.911,-1.986,47.583,974.5,57.52,39.34,4,,
+ 13.41,0.006,-0.020,-0.060,0.060,0.349,-0.457,0.393,-12.093,-7.420,49.018,975.46,48.49,39.33,4,,
+ 13.54,-0.009,0.008,-0.077,0.080,0.314,-0.488,0.385,-12.163,-6.151,50.015,975.91,44.31,39.33,4,,
+ 13.67,-0.034,0.026,-0.066,0.080,0.272,-0.510,0.377,-7.814,0.831,47.478,976.93,34.74,39.32,4,,
+ 13.80,-0.025,0.009,-0.066,0.070,0.233,-0.523,0.374,-2.511,4.725,46.025,977.89,25.74,39.32,4,,
+ 13.93,-0.025,-0.019,-0.096,0.100,0.182,-0.526,0.375,-0.963,3.903,48.038,978.31,21.83,39.32,4,,
+ 14.06,-0.009,-0.010,-0.086,0.090,0.182,-0.526,0.375,-4.681,1.601,48.869,979.36,12,39.32,4,,
+ 14.19,-0.010,-0.004,-0.117,0.120,0.136,-0.523,0.377,-5.320,2.695,50.916,979.83,7.62,39.31,4,,